Index,Run,Subject,Interface,Collided
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
11,1,2,Motion,0
12,2,2,Motion,0
13,3,2,Motion,0
14,4,2,Motion,0
15,5,2,Motion,0
16,1,2,Remote,1
17,2,2,Remote,0
18,3,2,Remote,0
19,4,2,Remote,0
20,5,2,Remote,0
21,1,3,Motion,0
22,2,3,Motion,0
23,3,3,Motion,0
24,4,3,Motion,0
25,5,3,Motion,0
26,1,3,Remote,0
27,2,3,Remote,1
28,3,3,Remote,1
29,4,3,Remote,0
30,5,3,Remote,1
31,1,4,Motion,0
32,2,4,Motion,0
33,3,4,Motion,0
34,4,4,Motion,1
35,5,4,Motion,0
36,1,4,Remote,0
37,2,4,Remote,1
38,3,4,Remote,0
39,4,4,Remote,0
40,5,4,Remote,0
41,1,5,Motion,0
42,2,5,Motion,1
43,3,5,Motion,0
44,4,5,Motion,0
45,5,5,Motion,0
46,1,5,Remote,1
47,2,5,Remote,0
48,3,5,Remote,0
49,4,5,Remote,0
50,5,5,Remote,0
51,1,6,Motion,0
52,2,6,Motion,0
53,3,6,Motion,0
54,4,6,Motion,0
55,5,6,Motion,0
56,1,6,Remote,0
57,2,6,Remote,0
58,3,6,Remote,0
59,4,6,Remote,1
60,5,6,Remote,0
61,1,7,Motion,0
62,2,7,Motion,0
63,3,7,Motion,0
64,4,7,Motion,0
65,5,7,Motion,0
66,1,7,Remote,0
67,2,7,Remote,1
68,3,7,Remote,0
69,4,7,Remote,0
70,5,7,Remote,1
71,1,8,Motion,0
72,2,8,Motion,0
73,3,8,Motion,0
74,4,8,Motion,0
75,5,8,Motion,0
76,1,8,Remote,1
77,2,8,Remote,0
78,3,8,Remote,1
79,4,8,Remote,0
80,5,8,Remote,0
81,1,9,Motion,0
82,2,9,Motion,0
83,3,9,Motion,1
84,4,9,Motion,0
85,5,9,Motion,0
86,1,9,Remote,1
87,2,9,Remote,1
88,3,9,Remote,1
89,4,9,Remote,0
90,5,9,Remote,1
91,1,10,Motion,0
92,2,10,Motion,0
93,3,10,Motion,0
94,4,10,Motion,1
95,5,10,Motion,0
96,1,10,Remote,1
97,2,10,Remote,0
98,3,10,Remote,1
99,4,10,Remote,0
100,5,10,Remote,0