"Horodateur","subject number","Run","Interface","How mentally demanding was the test?","How physically demanding was the test?","How hurried or rushed was the pace of the task?","How successful were you in accomplishing what you were asked to do?","How insecure, discouraged, irritated, stresses, and annoyed were you?"
"2019/08/12 12:15:23 PM UTC+2","1","First","Remote","3","1","3","3","2"
"2019/08/12 12:15:39 PM UTC+2","1","Last","Remote","2","1","2","4","1"
"2019/08/12 12:15:56 PM UTC+2","1","First","Motion","2","2","1","2","3"
"2019/08/12 12:16:15 PM UTC+2","1","Last","Motion","1","1","1","4","1"
"2019/08/12 12:16:33 PM UTC+2","2","First","Remote","3","1","2","3","2"
"2019/08/12 12:16:47 PM UTC+2","2","Last","Remote","2","1","2","4","1"
"2019/08/12 12:17:09 PM UTC+2","2","First","Motion","3","1","2","3","1"
"2019/08/12 12:17:26 PM UTC+2","2","Last","Motion","2","1","1","4","1"
"2019/08/12 12:17:53 PM UTC+2","3","First","Motion","2","1","3","3","1"
"2019/08/12 12:18:10 PM UTC+2","3","Last","Motion","2","1","3","4","1"
"2019/08/12 12:18:36 PM UTC+2","3","First","Remote","4","1","5","1","1"
"2019/08/12 12:18:51 PM UTC+2","3","Last","Remote","4","1","4","3","1"
"2019/08/12 12:19:08 PM UTC+2","4","First","Remote","4","1","2","3","2"
"2019/08/12 12:19:39 PM UTC+2","4","Last","Remote","3","1","1","4","1"
"2019/08/12 12:19:54 PM UTC+2","4","First","Motion","3","1","1","3","1"
"2019/08/12 12:20:16 PM UTC+2","4","Last","Motion","3","1","2","3","1"
"2019/08/12 12:20:39 PM UTC+2","5","First","Motion","2","3","1","4","2"
"2019/08/12 12:21:04 PM UTC+2","5","Last","Motion","2","3","1","4","1"
"2019/08/12 12:21:22 PM UTC+2","5","First","Remote","1","1","1","2","1"
"2019/08/12 12:21:33 PM UTC+2","5","Last","Remote","4","1","1","2","2"
"2019/08/22 9:08:27 AM UTC+2","101","First","Remote","1","1","1","4","1"
"2019/08/22 9:18:16 AM UTC+2","101","Last","Remote","1","1","1","5","1"
"2019/08/22 9:22:52 AM UTC+2","101","First","Motion","1","2","1","5","1"
"2019/08/22 9:35:22 AM UTC+2","101","Last","Motion","1","2","1","4","1"
"2019/08/22 10:08:03 AM UTC+2","102","First","Motion","1","1","1","5","1"
"2019/08/22 10:18:04 AM UTC+2","102","Last","Motion","1","1","1","5","1"
"2019/08/22 10:22:09 AM UTC+2","102","First","Remote","1","1","1","5","1"
"2019/08/22 10:42:22 AM UTC+2","102","Last","Remote","2","1","1","3","1"
"2019/08/22 11:08:40 AM UTC+2","103","First","Remote","3","2","3","3","3"
"2019/08/22 11:29:30 AM UTC+2","103","Last","Remote","4","2","3","3","3"
"2019/08/22 11:35:15 AM UTC+2","103","First","Motion","4","2","3","4","4"
"2019/08/22 12:08:04 PM UTC+2","103","Last","Motion","5","3","3","2","5"
"2019/08/22 12:27:15 PM UTC+2","104","First","Motion","4","1","2","3","3"
"2019/08/22 12:51:47 PM UTC+2","104","Last","Motion","3","2","2","4","2"
"2019/08/22 12:55:18 PM UTC+2","104","First","Remote","2","1","1","4","1"
"2019/08/22 1:12:08 PM UTC+2","104","Last","Remote","2","1","1","4","1"
"2019/08/28 10:13:50 AM UTC+2","10","First","Motion","2","1","1","3","2"
"2019/08/28 10:19:56 AM UTC+2","10","Last","Motion","2","1","1","5","2"
"2019/08/28 10:24:06 AM UTC+2","10","First","Remote","3","1","1","3","2"
"2019/08/28 10:30:25 AM UTC+2","10","Last","Remote","3","1","3","4","2"
"2019/08/28 12:39:51 PM UTC+2","6","First","Remote","1","1","1","5","1"
"2019/08/28 12:44:31 PM UTC+2","6","Last","Remote","1","1","1","4","1"
"2019/08/28 12:47:36 PM UTC+2","6","First","Motion","1","1","1","3","1"
"2019/08/28 12:51:44 PM UTC+2","6","Last","Motion","1","1","1","3","1"
"2019/08/28 2:13:35 PM UTC+2","7","First","Motion","2","2","1","4","1"
"2019/08/28 2:18:00 PM UTC+2","7","Last","Motion","2","2","1","5","1"
"2019/08/28 2:20:49 PM UTC+2","7","First","Remote","3","2","1","5","2"
"2019/08/28 2:25:40 PM UTC+2","7","Last","Remote","3","2","1","4","1"
"2019/08/28 2:47:28 PM UTC+2","8","First","Remote","4","1","3","3","4"
"2019/08/28 2:51:57 PM UTC+2","8","Last","Remote","3","1","4","4","3"
"2019/08/28 2:55:34 PM UTC+2","8","First","Motion","2","2","3","4","2"
"2019/08/28 3:00:30 PM UTC+2","8","Last","Motion","1","4","2","3","1"
"2019/08/28 4:12:12 PM UTC+2","9","First","Motion","2","3","3","5","2"
"2019/08/28 4:12:40 PM UTC+2","9","Last","Motion","1","1","5","3","2"
"2019/08/28 4:16:59 PM UTC+2","9","First","Remote","4","1","3","5","4"
"2019/08/28 4:20:47 PM UTC+2","9","Last","Remote","2","1","5","2","4"