Index,Run,Subject,Interface,Collided Z,Collided Y
1,1,1,Motion,0,0
2,2,1,Motion,0,0
3,3,1,Motion,1,0
4,4,1,Motion,0,0
5,5,1,Motion,0,0
6,1,1,Remote,0,1
7,2,1,Remote,1,0
8,3,1,Remote,1,1
9,4,1,Remote,0,0
10,5,1,Remote,1,0
11,1,1,Glove,1,0
12,2,1,Glove,1,1
13,3,1,Glove,0,1
14,4,1,Glove,0,0
15,5,1,Glove,0,1
16,1,2,Motion,0,0
17,2,2,Motion,0,1
18,3,2,Motion,1,0
19,4,2,Motion,0,1
20,5,2,Motion,0,0
21,1,2,Remote,0,1
22,2,2,Remote,1,0
23,3,2,Remote,1,1
24,4,2,Remote,0,1
25,5,2,Remote,0,0
26,1,2,Glove,0,0
27,2,2,Glove,1,0
28,3,2,Glove,1,1
29,4,2,Glove,0,0
30,5,2,Glove,1,0
31,1,3,Motion,1,0
32,2,3,Motion,0,1
33,3,3,Motion,0,0
34,4,3,Motion,1,1
35,5,3,Motion,0,0
36,1,3,Remote,1,1
37,2,3,Remote,0,0
38,3,3,Remote,1,0
39,4,3,Remote,1,1
40,5,3,Remote,0,0
41,1,3,Glove,1,1
42,2,3,Glove,1,1
43,3,3,Glove,0,0
44,4,3,Glove,1,0
45,5,3,Glove,1,0
46,1,4,Motion,1,0
47,2,4,Motion,0,0
48,3,4,Motion,0,0
49,4,4,Motion,0,0
50,5,4,Motion,0,0
51,1,4,Remote,0,1
52,2,4,Remote,1,1
53,3,4,Remote,1,1
54,4,4,Remote,0,1
55,5,4,Remote,0,1
56,1,4,Glove,0,1
57,2,4,Glove,0,1
58,3,4,Glove,0,1
59,4,4,Glove,1,0
60,5,4,Glove,0,0
61,1,5,Motion,0,0
62,2,5,Motion,0,0
63,3,5,Motion,1,0
64,4,5,Motion,0,0
65,5,5,Motion,0,0
66,1,5,Remote,0,1
67,2,5,Remote,1,0
68,3,5,Remote,0,0
69,4,5,Remote,1,1
70,5,5,Remote,1,1
71,1,5,Glove,1,0
72,2,5,Glove,1,1
73,3,5,Glove,0,0
74,4,5,Glove,0,0
75,5,5,Glove,1,1
76,1,6,Motion,0,0
77,2,6,Motion,0,0
78,3,6,Motion,0,1
79,4,6,Motion,0,0
80,5,6,Motion,0,0
81,1,6,Remote,0,0
82,2,6,Remote,0,0
83,3,6,Remote,0,0
84,4,6,Remote,1,1
85,5,6,Remote,1,0
86,1,6,Glove,1,0
87,2,6,Glove,0,1
88,3,6,Glove,0,1
89,4,6,Glove,0,1
90,5,6,Glove,1,0
91,1,7,Motion,1,1
92,2,7,Motion,0,0
93,3,7,Motion,0,0
94,4,7,Motion,0,0
95,5,7,Motion,0,0
96,1,7,Remote,1,0
97,2,7,Remote,0,0
98,3,7,Remote,1,1
99,4,7,Remote,0,1
100,5,7,Remote,1,0
101,1,7,Glove,0,0
102,2,7,Glove,1,1
103,3,7,Glove,0,1
104,4,7,Glove,0,1
105,5,7,Glove,1,0
106,1,8,Motion,0,0
107,2,8,Motion,0,0
108,3,8,Motion,0,0
109,4,8,Motion,1,0
110,5,8,Motion,0,0
111,1,8,Remote,1,0
112,2,8,Remote,1,1
113,3,8,Remote,1,1
114,4,8,Remote,0,1
115,5,8,Remote,0,0
116,1,8,Glove,0,0
117,2,8,Glove,1,1
118,3,8,Glove,1,0
119,4,8,Glove,1,1
120,5,8,Glove,0,0
121,1,9,Motion,0,0
122,2,9,Motion,0,0
123,3,9,Motion,0,1
124,4,9,Motion,1,0
125,5,9,Motion,0,0
126,1,9,Remote,1,0
127,2,9,Remote,0,1
128,3,9,Remote,0,0
129,4,9,Remote,1,1
130,5,9,Remote,1,1
131,1,9,Glove,0,1
132,2,9,Glove,0,1
133,3,9,Glove,0,0
134,4,9,Glove,1,0
135,5,9,Glove,1,1